foodUp,foodDown,foodLeft,foodRight,ghostUp,ghostDown,ghostLeft,ghostRight,wallUp,wallDown,wallLeft,wallRight,lastAction,labelNextAction 
-100,-100,3,7,-100,-100,4.0,2.0,True,True,False,False,3,2
-100,-100,1,5,-100,-100,4.0,2.0,True,True,False,False,2,2
3,-100,2,3,2.0,-100,4.0,2.0,False,True,False,False,2,0
2,4,-100,-100,0.0,2.0,-100,-100,True,False,True,True,0,1
3,-100,3,7,0.0,-100,2.0,2.0,True,True,False,False,1,2
-100,-100,2,4,-100,-100,2.0,0.0,True,True,False,True,2,2
3,-100,2,3,2.0,-100,2.0,0.0,False,True,False,True,2,2
-100,-100,2,3,-100,-100,2.0,0.0,True,True,False,True,2,2
-100,-100,1,3,-100,-100,2.0,0.0,True,True,False,True,2,2
1,-100,-100,4,2.0,-100,-100,0.0,False,True,True,True,2,0
1,3,-100,-100,2.0,0.0,-100,-100,False,True,True,True,0,0
1,3,-100,-100,2.0,0.0,-100,-100,False,True,True,True,0,0
2,3,-100,-100,2.0,0.0,-100,-100,False,True,True,True,0,0
-100,3,-100,1,-100,0.0,-100,2.0,True,True,True,False,0,3
-100,-100,4,4,-100,-100,0.0,2.0,True,True,True,False,3,3
-100,-100,6,3,-100,-100,0.0,2.0,True,True,True,False,3,3
-100,3,4,1,-100,2.0,0.0,2.0,True,False,True,False,3,1
3,4,-100,2,0.0,2.0,-100,2.0,True,False,True,False,1,3
1,-100,3,1,0.0,-100,2.0,2.0,True,True,False,False,3,3
0,2,2,-100,0.0,2.0,2.0,-100,True,False,False,True,3,0
-100,-100,2,1,-100,-100,4,6,True,True,False,False,0,3
-100,-100,2,1,-100,-100,4.0,6.0,True,True,False,False,3,3
-100,-100,3,1,-100,-100,4.0,6.0,True,True,False,False,3,3
-100,-100,3,1,-100,-100,4.0,6.0,True,True,False,False,3,3
1,-100,2,1,4.0,-100,4.0,6.0,False,True,False,False,3,0
1,1,-100,-100,2.0,4.0,-100,-100,False,False,True,True,0,0
1,2,2,-100,2.0,2.0,0.0,-100,False,False,True,True,0,0
2,2,-100,1,2.0,0.0,-100,2.0,False,True,True,False,0,0
-100,2,-100,1,-100,0.0,-100,2.0,True,True,True,False,0,3
-100,1,3,1,-100,0.0,2.0,2.0,True,True,False,False,3,3
-100,1,1,1,-100,2.0,0.0,2.0,True,False,True,False,3,1
1,1,3,-100,2.0,4.0,2.0,-100,False,False,False,True,1,2
3,-100,3,1,2.0,-100,0.0,2.0,False,True,True,False,2,0
-100,3,4,1,-100,0.0,2.0,2.0,True,True,False,False,0,3
-100,1,3,1,-100,0.0,2.0,2.0,True,True,False,False,3,3
-100,-100,2,1,-100,-100,0.0,2.0,True,True,True,False,3,3
-100,-100,3,1,-100,-100,0.0,2.0,True,True,True,False,3,3
-100,2,3,-100,-100,2.0,0.0,-100,True,False,True,True,3,1
3,2,-100,-100,0.0,2.0,-100,-100,True,False,True,True,1,1
4,2,-100,-100,0.0,2.0,-100,-100,True,False,True,True,1,1
4,2,-100,-100,0.0,2.0,-100,-100,True,False,True,True,1,1
4,-100,2,-100,0.0,-100,2.0,-100,True,True,False,True,1,2
-100,-100,2,4,-100,-100,2.0,0.0,True,True,False,True,2,2
